State,Retail_price,Retail_price
Andhra Pradesh,24.48742455,23.62144993
Arunachal Pradesh,33.66666667,46.33333333
Assam,21.53956835,25.01818182
Bihar,18.73828671,15.57042254
Goa,21.41794872,20.30331754
Gujarat,18.22936893,18.651875
Haryana,22.31904762,12.47327327
Himachal Pradesh,9.386363636,9.395522388
Jammu Kashmir,19.29411765,15.57712766
Jharkhand,18.1926,16.56892583
Karnataka,23.78581315,23.22589286
Kerala,22.50574713,19.50223368
Madhya Pradesh,18.70238095,16.40859375
Maharashtra,23.93169456,22.15667904
Manipur,,22
Meghalaya,,17.22
Nagaland,22.8,9.7
National Capital,11.33181818,15.53958333
Orissa,21.79639423,16.03175676
Punjab,9.088235294,11.89068878
Rajasthan,18.8861039,16.20069668
Sikkim,21.42105263,23.07142857
Tamil Nadu,30.36189979,28.17637028
Telangana,21.94262295,23.27619048
Tripura,31.5,27
Union Territories,10.01849315,10.39142857
Uttar Pradesh,15.67305236,14.99209091
Uttarakhand,21.05882353,11.16833333
West Bengal,18.63553299,15.10869565
